Country,Region,Site,Zone ,Latitude (DD),Longitude (DD),Period,Phase,Start BP,End BP,Radiocarbon Dates (BP),Sourc(es),Table(s) Included,Total Chipped Stone,Total Chert ,Total Obsidian,Total Blade,Total Obstdion/Total Chipped Stone,Blade Ratio (Total Blades/Total Obsidian),Blade Ratio (Total Blades/Total Chipped Stone),P&G Platform,P&G Ratio,Notes,Comments,,,,,,,,,,
Honduras ,Copan Valley,Copan(PrincipalGroup),10L-1(Papagayo Str. lot *37/5),14.83821667,-89.14141111,Early Classic,Acbi,1550,1350,,Aoyama (1999),"A1, A2.",108,3,105,83,0.972222222,0.79047619,0.768518519,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(PrincipalGroup),10L-1(Mascarones lot *37/5),14.83821667,-89.14141111,Early Classic,Acbi,1550,1350,,Aoyama (1999),"A1, A2.",68,20,48,37,0.705882353,0.770833333,0.544117647,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(PrincipalGroup),10L-1(Chorcha Str. lot *37/5/266),14.83821667,-89.14141111,Early Classic,Acbi,1550,1350,,Aoyama (1999),"A1, A2.",595,6,589,445,0.989915966,0.755517827,0.74789916,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(PrincipalGroup),10L-1(Great Plaza lot V/118/3),14.83821667,-89.14141111,Early Classic,Acbi,1550,1350,,Aoyama (1999),"A1, A2.",668,3,665,437,0.995508982,0.657142857,0.654191617,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(PrincipalGroup),"10L-1(Great Plaza lot V/62,63)",14.83821667,-89.14141111,Early Classic,Acbi,1550,1350,,Aoyama (1999),"A1, A2.",131,6,125,104,0.954198473,0.832,0.79389313,,,From the Vega Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Montanas),IV/25,14.84779167,-89.19600278,Late Classic,Coner,1350,1050,,Aoyama (1999),"A8,A9.",41,20,21,7,0.512195122,0.333333333,0.170731707,,,From the Montanas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Montanas),IV/54,14.82085,-89.16321944,Late Classic,Coner,1350,1050,,Aoyama (1999),"A8,A9.",529,220,309,7,0.584120983,0.022653722,0.013232514,,,From the Montanas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Montanas),IV/58,14.83486944,-89.17840833,Late Classic,Coner,1350,1050,,Aoyama (1999),"A8,A9.",17,12,5,1,0.294117647,0.2,0.058823529,,,From the Montanas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Montanas),IV/60,14.86133056,-89.13934167,Late Classic,Coner,1350,1050,,Aoyama (1999),A9,7,0,7,0,1,0,0,,,From the Montanas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Montanas),IV/64,14.88696389,-89.11916667,Late Classic,Coner,1350,1050,,Aoyama (1999),"A8,A9.",49,23,26,13,0.530612245,0.5,0.265306122,,,From the Montanas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Montanas),IV/73,14.88501111,-89.12846667,Late Classic,Coner,1350,1050,,Aoyama (1999),"A8,A9.",16,8,8,1,0.5,0.125,0.0625,,,From the Montanas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Faldas),IV/59,14.85220278,-89.16088611,Late Classic,Coner,1350,1050,,Aoyama (1999),"A8,A9.",58,30,28,18,0.482758621,0.642857143,0.310344828,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Faldas),3P-3(IV/63),14.87221389,-89.12058889,Late Classic,Coner,1350,1050,,Aoyama (1999),"A8,A9.",100,68,32,29,0.32,0.90625,0.29,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Faldas),IV/77,14.85844167,-89.09949722,Late Classic,Coner,1350,1050,,Aoyama (1999),"A8,A9.",129,83,46,4,0.356589147,0.086956522,0.031007752,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Rincon del Buey),12D-5(IV/156),14.83198056,-89.18838056,Late Classic,Coner,1350,1050,,Aoyama (1999),"A8,A9.",9,2,7,3,0.777777778,0.428571429,0.333333333,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Tapescos),13C-1(IV/1),14.83600556,-89.18791389,Late Classic,Coner,1350,1050,,Aoyama (1999),"A8,A9.",19,3,16,7,0.842105263,0.4375,0.368421053,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),11D-4(IV/2),14.83777222,-89.18577778,Late Classic,Coner,1350,1050,,Aoyama (1999),"A8,A9.",104,101,3,2,0.028846154,0.666666667,0.019230769,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),Vacent Space(11E-1),14.83821667,-89.14141111,Late Classic,Coner,1350,1050,,Aoyama (1999),A8,27,27,0,0,0,0,0,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),1E-6(IV/4),14.84060556,-89.18174444,Late Classic,Coner,1350,1050,,Aoyama (1999),A8,15,15,0,0,0,0,0,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),1E-6(IV/158),14.84041111,-89.17964167,Late Classic,Coner,1350,1050,,Aoyama (1999),A8,10,10,0,0,0,0,0,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),IV/3,14.83953889,-89.18337778,Late Classic,Coner,1350,1050,,Aoyama (1999),A9,36,0,36,4,1,0.111111111,0.111111111,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),1.00E-05(IV/4),14.90616111,-89.18174444,Late Classic,Coner,1350,1050,,Aoyama (1999),A9,28,0,28,21,1,0.75,0.75,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),1.00E-05(IV/158),14.84041111,-89.17964167,Late Classic,Coner,1350,1050,,Aoyama (1999),A9,30,0,30,24,1,0.8,0.8,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),IV/5,14.84266111,-89.17890833,Late Classic,Coner,1350,1050,,Aoyama (1999),"A8,A9.",70,21,49,31,0.7,0.632653061,0.442857143,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),10F-1(IV/6),14.84362778,-89.17701667,Late Classic,Coner,1350,1050,,Aoyama (1999),"A8,A9.",50,19,31,19,0.62,0.612903226,0.38,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),V.S.(IV/7),14.84369167,-89.17620556,Late Classic,Coner,1350,1050,,Aoyama (1999),"A8,A9.",24,11,13,1,0.541666667,0.076923077,0.041666667,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),V.S(IV/9),14.84498889,-89.173475,Late Classic,Coner,1350,1050,,Aoyama (1999),"A8,A9.",18,14,4,2,0.222222222,0.5,0.111111111,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),V.S.(IV/10),14.84978056,-89.17701944,Late Classic,Coner,1350,1050,,Aoyama (1999),"A8,A9.",7,4,3,0,0.428571429,0,0,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),V.S.(IV/11),14.83443611,-89.18541944,Late Classic,Coner,1350,1050,,Aoyama (1999),"A8,A9.",31,7,24,0,0.774193548,0,0,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),V.S.(IV/16),14.83723889,-89.17673611,Late Classic,Coner,1350,1050,,Aoyama (1999),A9,8,0,8,0,1,0,0,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),V.S(IV/17),14.84194167,-89.17068889,Late Classic,Coner,1350,1050,,Aoyama (1999),"A8,A9.",43,6,37,0,0.860465116,0,0,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),11E-2(IV/166/5),14.83887222,-89.17985278,Late Classic,Coner,1350,1050,,Aoyama (1999),A8,4,4,0,0,0,0,0,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),11E-2(IV/166/6),14.83887222,-89.17985278,Late Classic,Coner,1350,1050,,Aoyama (1999),A8,5,5,0,0,0,0,0,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),IV/39,14.82288333,-89.17405833,Late Classic,Coner,1350,1050,,Aoyama (1999),A8,2,2,0,0,0,0,0,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),1.10E-01(IV/166/5),14.83887222,-89.17985278,Late Classic,Coner,1350,1050,,Aoyama (1999),A9,20,0,20,8,1,0.4,0.4,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),1.10E-01(IV/166/6),14.83887222,-89.17985278,Late Classic,Coner,1350,1050,,Aoyama (1999),A9,13,0,13,10,1,0.769230769,0.769230769,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),1.10E-01(IV/166/12),14.83887222,-89.17985278,Late Classic,Coner,1350,1050,,Aoyama (1999),A9,5,0,5,4,1,0.8,0.8,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Estanzuela),IV/39,14.82288333,-89.17405833,Late Classic,Coner,1350,1050,,Aoyama (1999),A9,14,0,14,1,1,0.071428571,0.071428571,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),IV/40,14.82181389,-89.17795556,Late Classic,Coner,1350,1050,,Aoyama (1999),"A8,A9.",8,1,7,1,0.875,0.142857143,0.125,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Ostuman),14F-2(IV/41),14.82348889,-89.1724,Late Classic,Coner,1350,1050,,Aoyama (1999),"A8,A9.",16,4,12,6,0.75,0.5,0.375,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Estanzuela),IV/51,14.82153889,-89.17568611,Late Classic,Coner,1350,1050,,Aoyama (1999),"A8,A9.",21,15,6,1,0.285714286,0.166666667,0.047619048,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Estanzuela),IV/52,14.82030556,-89.178675,Late Classic,Coner,1350,1050,,Aoyama (1999),"A8,A9.",71,4,67,6,0.943661972,0.089552239,0.084507042,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Estanzuela),14F-1(IV/53),14.82579167,-89.17154444,Late Classic,Coner,1350,1050,,Aoyama (1999),"A8,A9.",50,20,30,9,0.6,0.3,0.18,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Estanzuela),13G-1(IV/151),14.82593333,88.83195833,Late Classic,Coner,1350,1050,,Aoyama (1999),"A8,A9.",37,6,31,22,0.837837838,0.709677419,0.594594595,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Algodonal),12G-2(IV/36),14.83151389,-89.16678889,Late Classic,Coner,1350,1050,,Aoyama (1999),"A8,A9.",125,83,42,8,0.336,0.19047619,0.064,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Algodonal),12G-5(IV/49),14.83259167,-89.164675,Late Classic,Coner,1350,1050,,Aoyama (1999),"A8,A9.",154,70,84,70,0.545454545,0.833333333,0.454545455,,,From the Faldas Physiographic Zone,,,,,,,,,,,
Honduras ,Copan Valley,Copan(Algodonal),12G-4(IV/146),14.83363611,-89.16633889,Late Classic,Coner,1350,1050,,Aoyama (1999),"A8,A9.",82,41,41,16,0.5,0.390243902,0.195121951,,,From the Faldas Physiographic Zone,,,,,,,,,,,
